Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Seller_Type,Amenities,Description,Link,Amenities_Count,Is_Installments
EG-6743410,Villa,cairo 6th of october compounds grand heights,24000000.0,80808.0,297.0,4 rooms,4 bathroom,,2026.0,1,Garden,Developer,Garden,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6743410-for-sale-cairo-6th-of-october-compounds-grand-heights/,1,0
EG-6745231,Building,cairo 6th of october el ahyaa neighborhood 5th street 2,25000000.0,83333.0,300.0,,,,2026.0,1,Other,Developer,,عمارات For sale in Street 2,https://aqarmap.com.eg/en/listing/6745231-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-5th-street-2/,0,0
EG-6714331,Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,5700000.0,35625.0,160.0,3 rooms,2 bathroom,2.0,2026.0,1,Other,Developer,,Apartment For sale in El Shaheed Mohamed Abd El Latif El Shimi St.,https://aqarmap.com.eg/en/listing/6714331-for-sale-cairo-6th-of-october-el-hay-el-motamyz-first-touristic-village-el-shaheed-mohammed-abdul-latif-alshimi-st/,0,0
EG-6729315,Villa,cairo el sheikh zayed city el hay elsabeaa lbstn,85000000.0,116438.0,730.0,13 rooms,14 bathroom,,2026.0,1,Garden,Developer,Garden,فيلا For sale in El Bostan St.,https://aqarmap.com.eg/en/listing/6729315-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsabeaa-lbstn/,1,0
EG-6739455,Villa,cairo el sheikh zayed city compounds el rabwa,35000000.0,116667.0,300.0,3 rooms,3 bathroom,,2026.0,1,Garden,Developer,Garden,فيلا For sale in El Rabwa Compound - TMG,https://aqarmap.com.eg/en/listing/6739455-for-sale-cairo-el-sheikh-zayed-city-compounds-el-rabwa/,1,0
EG-6714374,Villa,cairo hadayek el ahram al mantaka s,28000000.0,30108.0,930.0,12 rooms,8 bathroom,,2026.0,1,Main Street,Developer,,فيلا For sale in Al Mantaka S,https://aqarmap.com.eg/en/listing/6714374-for-sale-cairo-hadayek-el-ahram-al-mantaka-s/,0,0
EG-6725674,Villa,cairo 6th of october garb someed neighborhood 9th,26500000.0,44167.0,600.0,9 rooms,9 bathroom,,2026.0,1,Corner,Developer,,فيلا For sale in Neighborhood 9th,https://aqarmap.com.eg/en/listing/6725674-for-sale-cairo-6th-of-october-garb-someed-neighborhood-9th/,0,0
EG-6743391,Villa,cairo 6th of october compounds grand heights,25000000.0,72464.0,345.0,5 rooms,6 bathroom,,2026.0,1,Garden,Developer,Garden,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6743391-for-sale-cairo-6th-of-october-compounds-grand-heights/,1,0
EG-6899280,Apartment,cairo nasr city el hay el asher ahmed el zomor,5400000.0,25116.0,215.0,3 rooms,2 bathroom,2.0,2027.0,1,Main Street,Broker,,Apartment For sale in Ahmed El Zomor St.,https://aqarmap.com.eg/en/listing/6899280-for-sale-cairo-nasr-city-el-hay-el-asher-ahmed-el-zomor/,0,1
EG-6900295,Apartment,cairo new cairo bait el watan second neighborhood,7435800.0,30726.0,242.0,3 rooms,2 bathroom,1.0,2028.0,1,Main Street,Developer,"Elevator, Parking, Balcony","Semi Finished Apartments in Second Neighborhood with size 242 M² View Main Street Semi Finished, first floor, three rooms, two baths",https://aqarmap.com.eg/en/listing/6900295-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood/,3,1
